# step cpu_mb gpu_mb
0 1296.57 0.00
1 1314.61 0.00
2 1314.61 0.00
3 1314.61 0.00
4 1314.61 0.00
5 1314.61 0.00
6 1314.61 0.00
7 1314.61 0.00
8 1314.61 0.00
9 1314.61 0.00
10 1314.61 0.00
11 1314.61 0.00
12 1314.61 0.00
13 1314.61 0.00
14 1314.61 0.00
15 1314.61 0.00
16 1314.61 0.00
17 1314.61 0.00
18 1314.61 0.00
19 1314.61 0.00
20 1314.61 0.00
21 1314.61 0.00
22 1314.61 0.00
23 1314.61 0.00
24 1314.61 0.00
25 1314.61 0.00
26 1314.61 0.00
27 1314.61 0.00
28 1314.61 0.00
29 1314.61 0.00
30 1314.61 0.00
31 1314.61 0.00
32 1314.61 0.00
33 1314.61 0.00
34 1314.61 0.00
35 1314.61 0.00
36 1314.61 0.00
37 1314.61 0.00
38 1314.61 0.00
39 1314.61 0.00
40 1314.61 0.00
41 1314.61 0.00
42 1314.61 0.00
43 1314.61 0.00
44 1314.61 0.00
45 1314.61 0.00
46 1314.61 0.00
47 1314.61 0.00
48 1314.61 0.00
49 1314.61 0.00
50 1314.61 0.00
51 1314.61 0.00
52 1314.61 0.00
53 1314.61 0.00
54 1314.61 0.00
55 1314.61 0.00
56 1314.61 0.00
57 1314.61 0.00
58 1314.61 0.00
59 1314.61 0.00
60 1314.61 0.00
61 1314.61 0.00
62 1314.61 0.00
63 1314.61 0.00
64 1314.61 0.00
65 1314.61 0.00
66 1314.61 0.00
67 1314.61 0.00
68 1314.61 0.00
69 1314.61 0.00
70 1314.61 0.00
71 1314.61 0.00
72 1314.61 0.00
73 1314.61 0.00
74 1314.61 0.00
75 1314.61 0.00
76 1314.61 0.00
77 1314.61 0.00
78 1314.61 0.00
79 1314.61 0.00
80 1314.61 0.00
81 1314.61 0.00
82 1314.61 0.00
83 1314.61 0.00
84 1314.61 0.00
85 1314.61 0.00
86 1314.61 0.00
87 1314.61 0.00
88 1314.61 0.00
89 1314.61 0.00
90 1314.61 0.00
91 1314.61 0.00
92 1314.61 0.00
93 1314.61 0.00
94 1314.61 0.00
95 1314.61 0.00
96 1314.61 0.00
97 1314.61 0.00
98 1314.61 0.00
99 1314.61 0.00
100 1314.61 0.00
101 1314.61 0.00
102 1314.61 0.00
103 1314.61 0.00
104 1314.61 0.00
105 1314.61 0.00
106 1314.61 0.00
107 1314.61 0.00
108 1314.61 0.00
109 1314.61 0.00
110 1314.61 0.00
111 1314.61 0.00
112 1314.61 0.00
113 1314.61 0.00
114 1314.61 0.00
115 1314.61 0.00
116 1314.61 0.00
117 1314.61 0.00
118 1314.61 0.00
119 1314.61 0.00
120 1314.61 0.00
121 1314.61 0.00
122 1314.61 0.00
123 1314.61 0.00
124 1314.61 0.00
125 1314.61 0.00
126 1314.61 0.00
127 1314.61 0.00
128 1314.61 0.00
129 1314.61 0.00
130 1314.61 0.00
131 1314.61 0.00
132 1314.61 0.00
133 1314.61 0.00
134 1314.61 0.00
135 1314.61 0.00
136 1314.61 0.00
137 1314.61 0.00
138 1314.61 0.00
139 1314.61 0.00
140 1314.61 0.00
141 1314.61 0.00
142 1314.61 0.00
143 1314.61 0.00
144 1314.61 0.00
145 1314.61 0.00
146 1314.61 0.00
147 1314.61 0.00
148 1314.61 0.00
149 1314.61 0.00
150 1314.61 0.00
151 1314.61 0.00
152 1314.61 0.00
153 1314.61 0.00
154 1314.61 0.00
155 1314.61 0.00
156 1314.61 0.00
157 1314.61 0.00
158 1314.61 0.00
159 1314.61 0.00
160 1314.61 0.00
161 1314.61 0.00
162 1314.61 0.00
163 1314.61 0.00
164 1314.61 0.00
165 1314.61 0.00
166 1314.61 0.00
167 1314.61 0.00
168 1314.61 0.00
169 1314.61 0.00
170 1314.61 0.00
171 1314.61 0.00
172 1314.61 0.00
173 1314.61 0.00
174 1314.61 0.00
175 1314.61 0.00
176 1314.61 0.00
177 1314.61 0.00
178 1314.61 0.00
179 1314.61 0.00
180 1314.61 0.00
181 1314.61 0.00
182 1314.61 0.00
183 1314.61 0.00
184 1314.61 0.00
185 1314.61 0.00
186 1314.61 0.00
187 1314.61 0.00
188 1314.61 0.00
189 1314.61 0.00
190 1314.61 0.00
191 1314.61 0.00
192 1314.61 0.00
193 1314.61 0.00
194 1314.61 0.00
195 1314.61 0.00
196 1314.61 0.00
197 1314.61 0.00
198 1314.61 0.00
199 1314.61 0.00
200 1314.61 0.00
201 1314.61 0.00
202 1314.61 0.00
203 1314.61 0.00
204 1314.61 0.00
205 1314.61 0.00
206 1314.61 0.00
207 1314.61 0.00
208 1314.61 0.00
209 1314.61 0.00
210 1314.61 0.00
211 1314.61 0.00
212 1314.61 0.00
213 1314.61 0.00
214 1314.61 0.00
215 1314.61 0.00
216 1314.61 0.00
217 1314.61 0.00
218 1314.61 0.00
219 1314.61 0.00
220 1314.61 0.00
221 1314.61 0.00
222 1314.61 0.00
223 1314.61 0.00
224 1314.61 0.00
225 1314.61 0.00
226 1314.61 0.00
227 1314.61 0.00
228 1314.61 0.00
229 1314.61 0.00
230 1314.61 0.00
231 1314.61 0.00
232 1314.61 0.00
233 1314.61 0.00
234 1314.61 0.00
235 1314.61 0.00
236 1314.61 0.00
237 1314.61 0.00
238 1314.61 0.00
239 1314.61 0.00
240 1314.61 0.00
241 1314.61 0.00
242 1314.61 0.00
243 1314.61 0.00
244 1314.61 0.00
245 1314.61 0.00
246 1314.61 0.00
247 1314.61 0.00
248 1314.61 0.00
249 1314.61 0.00
250 1314.61 0.00
251 1314.61 0.00
252 1314.61 0.00
253 1314.61 0.00
254 1314.61 0.00
255 1314.61 0.00
256 1314.61 0.00
257 1314.61 0.00
258 1314.61 0.00
259 1314.61 0.00
260 1314.61 0.00
261 1314.61 0.00
262 1314.61 0.00
263 1314.61 0.00
264 1314.61 0.00
265 1314.61 0.00
266 1314.61 0.00
267 1314.61 0.00
268 1314.61 0.00
269 1314.61 0.00
270 1314.61 0.00
271 1314.61 0.00
272 1314.61 0.00
273 1314.61 0.00
274 1314.61 0.00
